dataset,branch,center,cap,condition,tolerance_mode,regret_tolerance,eligible_pool_size,selected_run,selected_feature_count,selected_score,absolute_regret,selected_mean_jaccard,fallback_expansion,selection_used_heldout,status,note
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,no_penalty,absolute,0.0,1.0,4.0,10.0,0.8171645021645022,0.0,,False,False,complete,
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,no_penalty,absolute,0.005,1.0,4.0,10.0,0.8171645021645022,0.0,,False,False,complete,
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,no_penalty,absolute,0.01,1.0,4.0,10.0,0.8171645021645022,0.0,,False,False,complete,
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,no_penalty,absolute,0.02,2.0,4.0,10.0,0.8171645021645022,0.0,0.6,False,False,complete,
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,no_penalty,best_run_se_scaled,best_run_score_se,2.0,4.0,10.0,0.8171645021645022,0.0,0.6,False,False,complete,
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,penalty,absolute,0.0,1.0,5.0,9.0,0.8146753246753248,0.0,,False,False,complete,
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,penalty,absolute,0.005,1.0,5.0,9.0,0.8146753246753248,0.0,,False,False,complete,
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,penalty,absolute,0.01,2.0,5.0,9.0,0.8146753246753248,0.0,0.5,False,False,complete,
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,penalty,absolute,0.02,4.0,4.0,9.0,0.8005844155844155,0.0140909090909092,0.4685314685314685,False,False,complete,
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,penalty,best_run_se_scaled,best_run_score_se,5.0,2.0,9.0,0.7985064935064935,0.0161688311688312,0.4516733266733266,False,False,complete,
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,no_penalty,absolute,0.0,1.0,1.0,16.0,0.8800432900432901,0.0,,False,False,complete,
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,no_penalty,absolute,0.005,2.0,1.0,16.0,0.8800432900432901,0.0,0.56,False,False,complete,
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,no_penalty,absolute,0.01,3.0,4.0,23.0,0.8764935064935067,0.0035497835497834,0.5876923076923077,False,False,complete,
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,no_penalty,absolute,0.02,5.0,4.0,23.0,0.8764935064935067,0.0035497835497834,0.5216786661614248,False,False,complete,
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,no_penalty,best_run_se_scaled,best_run_score_se,5.0,4.0,23.0,0.8764935064935067,0.0035497835497834,0.5216786661614248,False,False,complete,
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,penalty,absolute,0.0,1.0,1.0,15.0,0.8733549783549783,0.0,,False,False,complete,
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,penalty,absolute,0.005,3.0,4.0,16.0,0.8702380952380953,0.003116883116883,0.4761904761904761,False,False,complete,
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,penalty,absolute,0.01,3.0,4.0,16.0,0.8702380952380953,0.003116883116883,0.4761904761904761,False,False,complete,
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,penalty,absolute,0.02,4.0,5.0,15.0,0.8694588744588746,0.0038961038961037,0.4945697577276524,False,False,complete,
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,penalty,best_run_se_scaled,best_run_score_se,4.0,5.0,15.0,0.8694588744588746,0.0038961038961037,0.4945697577276524,False,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,no_penalty,absolute,0.0,1.0,3.0,35.0,0.8678571428571429,0.0,,False,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,no_penalty,absolute,0.005,2.0,3.0,35.0,0.8678571428571429,0.0,0.3846153846153846,False,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,no_penalty,absolute,0.01,2.0,3.0,35.0,0.8678571428571429,0.0,0.3846153846153846,False,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,no_penalty,absolute,0.02,4.0,3.0,35.0,0.8678571428571429,0.0,0.3488340590227383,False,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,no_penalty,best_run_se_scaled,best_run_score_se,5.0,5.0,39.0,0.8431385281385282,0.0247186147186146,0.4115566037735849,False,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,penalty,absolute,0.0,1.0,2.0,20.0,0.8487445887445887,0.0,,False,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,penalty,absolute,0.005,3.0,1.0,19.0,0.8455627705627705,0.0031818181818181,0.2951612903225806,False,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,penalty,absolute,0.01,4.0,5.0,21.0,0.8474458874458876,0.0012987012987011,0.24620972533686,False,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,penalty,absolute,0.02,4.0,5.0,21.0,0.8474458874458876,0.0012987012987011,0.24620972533686,False,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,penalty,best_run_se_scaled,best_run_score_se,4.0,5.0,21.0,0.8474458874458876,0.0012987012987011,0.24620972533686,False,False,complete,
AMP-AD,boruta_rf,emory,high,legacy_zero_truncated,absolute,0.0,1.0,4.0,49.0,0.8675020172112156,0.0,,False,False,complete,
AMP-AD,boruta_rf,emory,high,legacy_zero_truncated,absolute,0.005,1.0,4.0,49.0,0.8675020172112156,0.0,,False,False,complete,
AMP-AD,boruta_rf,emory,high,legacy_zero_truncated,absolute,0.01,3.0,5.0,48.0,0.8584349758935712,0.0090670413176443,0.5901639344262295,False,False,complete,
AMP-AD,boruta_rf,emory,high,legacy_zero_truncated,absolute,0.02,5.0,5.0,48.0,0.8584349758935712,0.0090670413176443,0.6102655830323238,False,False,complete,
AMP-AD,boruta_rf,emory,high,legacy_zero_truncated,best_run_se_scaled,best_run_score_se,,,,,,,,False,unavailable_missing_fold_scores,Only development-CV means and SDs were archived; fold vectors were not saved.
AMP-AD,boruta_rf,emory,low,legacy_zero_truncated,absolute,0.0,1.0,1.0,14.0,0.8475955399378805,0.0,,False,False,complete,
AMP-AD,boruta_rf,emory,low,legacy_zero_truncated,absolute,0.005,2.0,1.0,14.0,0.8475955399378805,0.0,0.25,False,False,complete,
